OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101545496,15769,8
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101545696,15969,9
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101545812,16085,10
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101545946,16219,11
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101546212,16484,12
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101548096,18368,13
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101548196,18468,14
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101548413,18685,15
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101548747,19020,16
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549163,19436,17
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549246,19519,18
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549429,19702,19
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549562,19835,20
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549679,19951,21
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549763,20035,22
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549863,20135,23
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101549996,20269,24
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550329,20602,25
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550362,20635,26
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550412,20685,27
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550529,20802,28
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550629,20902,29
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550729,21002,30
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101550863,21136,31
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101552313,22586,30
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101552580,22852,29
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553229,23502,28
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553279,23552,27
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553429,23702,26
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553562,23835,25
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553662,23935,24
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553762,24035,23
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101553829,24102,22
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554046,24319,21
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554463,24736,20
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554479,24752,19
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554495,24768,18
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554546,24819,17
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554796,25069,16
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554896,25169,15
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101554946,25219,14
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556179,26452,13
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556212,26485,12
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556329,26602,11
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556429,26702,10
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556579,26852,9
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556696,26969,8
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101556863,27135,7
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557346,27620,6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557396,27670,5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557596,27868,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557696,27968,3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557779,28051,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557862,28135,1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101557996,28269,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101558546,28819,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101558579,28852,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101558763,29036,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101558895,29168,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101559146,29419,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101559379,29652,-6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101562452,32534,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160162610,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160164670,1909,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160164969,2208,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160166423,3661,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160170624,7863,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160170721,7960,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160171137,8375,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160171204,8442,1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160171788,9027,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,1368606C-2DED-E906-2F1E-C611A5842291_1,5782A4A8-DFD1-CA27-D4D4-6C85258384AF,D4E4DFDC-0C31-3BCB-41CC-282F92BC6340,1680160171871,9110,3
